player_id,player_name,team,games,fumbles,fumbles_lost,forced_fumbles,own_fumbles_recoveries,opponent_fumbles_recoveries,touchdowns
tutu-atwell,Tutu Atwell,Los Angeles Rams,17,,,0,,,
saquon-barkley,Saquon Barkley,Philadelphia Eagles,16,2,1,0,2,,
kendrick-bourne,Kendrick Bourne,New England Patriots,12,0,0,,1,,
tyler-boyd,Tyler Boyd,Tennessee Titans,16,,,0,,,
dyami-brown,Dyami Brown,Washington Commanders,16,1,1,0,,,
johnny-hekker,Johnny Hekker,Carolina Panthers,17,,,0,,,
jakobi-meyers,Jakobi Meyers,Las Vegas Raiders,15,,,0,,,
joe-mixon,Joe Mixon,Houston Texans,14,,,0,,,
darnell-mooney,Darnell Mooney,Atlanta Falcons,16,,,,,,
d-j-moore,DJ Moore,Chicago Bears,17,1,1,0,1,,
malik-nabers,Malik Nabers,New York Giants,15,1,0,,,,
chris-oladokun,Chris Oladokun,Kansas City Chiefs,1,1,0,,,,
deebo-samuel,Deebo Samuel Sr.,San Francisco 49ers,15,2,1,0,,,
penei-sewell,Penei Sewell,Detroit Lions,17,,,,,,
derrick-henry,Derrick Henry,Baltimore Ravens,17,3,1,,,,
bijan-robinson,Bijan Robinson,Atlanta Falcons,17,1,0,0,4,,
jonathan-taylor,Jonathan Taylor,Indianapolis Colts,14,4,1,0,1,,
jahmyr-gibbs,Jahmyr Gibbs,Detroit Lions,17,1,1,0,,,
josh-jacobs-x3315,Josh Jacobs,Green Bay Packers,17,4,3,0,,,
kyren-williams,Kyren Williams,Los Angeles Rams,16,5,3,0,,,
chuba-hubbard,Chuba Hubbard,Carolina Panthers,15,4,3,,,,
aaron-jones,Aaron Jones,Minnesota Vikings,17,5,3,0,1,,
bucky-irving,Bucky Irving,Tampa Bay Buccaneers,17,2,1,0,3,,
james-conner,James Conner,Arizona Cardinals,16,4,1,1,1,,
rico-dowdle,Rico Dowdle,Dallas Cowboys,16,3,2,0,,,
tony-pollard,Tony Pollard,Tennessee Titans,16,2,2,0,1,,
najee-harris-x2665,Najee Harris,Pittsburgh Steelers,17,,,,,,
james-cook-2,James Cook,Buffalo Bills,16,1,0,,,,
chase-brown,Chase Brown,Cincinnati Bengals,16,2,1,,,,
d-andre-swift,D'Andre Swift,Chicago Bears,17,2,0,,,,
alvin-kamara,Alvin Kamara,New Orleans Saints,14,1,0,0,,,
devon-achane,De'Von Achane,Miami Dolphins,17,1,0,0,,,
j-k-dobbins,J.K. Dobbins,Los Angeles Chargers,13,,,,,,
breece-hall,Breece Hall,New York Jets,16,6,2,0,1,,
tyrone-tracy-jr,Tyrone Tracy Jr.,New York Giants,17,5,2,0,,,
rhamondre-stevenson,Rhamondre Stevenson,New England Patriots,15,7,3,,4,,
brian-robinson,Brian Robinson,Washington Commanders,14,2,2,0,,,
jordan-mason,Jordan Mason,San Francisco 49ers,12,3,1,,1,,
tank-bigsby,Tank Bigsby,Jacksonville Jaguars,16,4,1,0,1,,
kareem-hunt,Kareem Hunt,Kansas City Chiefs,13,,,,,,
tyler-allgeier,Tyler Allgeier,Atlanta Falcons,17,,,0,,,
rachaad-white,Rachaad White,Tampa Bay Buccaneers,16,3,3,0,,,
