player_name,player_position,team,player_image_url,team_id,player_id_team,player_id
Marshon Lattimore,CB,New Orleans Saints,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/z4npwlwl5teozc1lp8ky,NO,marshon-lattimore-NO,marshon-lattimore
Deane Leonard,CB,Los Angeles Chargers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/xuf9vjrpvw0orkcr9lev,LAC,deane-leonard-LAC,deane-leonard
Cam Lewis,CB,Buffalo Bills,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/cv2vtd0bajxfuet07bl7,BUF,cam-lewis-BUF,cam-lewis
Avonte Maddox,CB,Philadelphia Eagles,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/fwzfhbgtcauaags08zlf,PHI,avonte-maddox-PHI,avonte-maddox
Damarri Mathis,CB,Denver Broncos,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/b9fsyzs155k1z6tu59ay,DEN,damarri-mathis-DEN,damarri-mathis
Arthur Maulet,CB,Baltimore Ravens,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/yes3epodpjvubtvfoy7e,BAL,arthur-maulet-BAL,arthur-maulet
Bobby McCain,CB,Minnesota Vikings,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/qngkoi5ocjuet0kmni6a,MIN,bobby-mccain-MIN,bobby-mccain
Nick McCloud,CB,San Francisco 49ers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/pk0edmqqhgs2sowt4ink,SF,nick-mccloud-SF,nick-mccloud
Nick McCloud,CB,New York Giants,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/pk0edmqqhgs2sowt4ink,NYG,nick-mccloud-NYG,nick-mccloud
Zyon McCollum,CB,Tampa Bay Buccaneers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/i0ztcak7qlehrpqcxhlh,TB,zyon-mccollum-TB,zyon-mccollum
Dwight McGlothern,CB,Minnesota Vikings,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/adquqzpktzmy0wyr0gxb,MIN,dwight-mcglothern-MIN,dwight-mcglothern
Kool-Aid McKinstry,CB,New Orleans Saints,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/ihnixb4i91g1nvvtexty,NO,kool-aid-mckinstry-NO,kool-aid-mckinstry
Quinyon Mitchell,CB,Philadelphia Eagles,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/qcwjdkw3lzlljnjaggjf,PHI,quinyon-mitchell-PHI,quinyon-mitchell
Elijah Molden,CB,Los Angeles Chargers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/ucrlai6l3qghkhywwksk,LAC,elijah-molden-LAC,elijah-molden
Kenny Moore II,CB,Indianapolis Colts,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/ji3hdoi86xonnhxlr6gl,IND,kenny-moore-IND,kenny-moore
Fabian Moreau,CB,Minnesota Vikings,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/osj1pbe8mj5f7h47l2op,MIN,fabian-moreau-MIN,fabian-moreau
Greg Newsome II,CB,Cleveland Browns,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/vnzji51ny0rycaa1aqii,CLE,greg-newsome-ii-CLE,greg-newsome-ii
Josh Newton,CB,Cincinnati Bengals,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/inlprlyr78vghlvcwagu,CIN,josh-newton-CIN,josh-newton
Jeff Okudah,CB,Houston Texans,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/y2xrximb2dlexwgyrjxh,HOU,jeff-okudah-HOU,jeff-okudah
Isaiah Oliver,CB,New York Jets,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/aiqmpwmscdx5lyvyi5qp,NYJ,isaiah-oliver-NYJ,isaiah-oliver
Amani Oruwariye,CB,Dallas Cowboys,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/yh8ysiqddubzbgxqdwbb,DAL,amani-oruwariye-DAL,amani-oruwariye
Rico Payton,CB,New Orleans Saints,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/ghyxygii0jlymsleogah,NO,rico-payton-NO,rico-payton
Joey Porter Jr.,CB,Pittsburgh Steelers,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/rrikslx4sadmozltcuqw,PIT,joey-porter-jr-PIT,joey-porter-jr
Troy Pride,CB,Dallas Cowboys,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/pszcqhypafvbgq8sezfu,DAL,troy-pride-DAL,troy-pride
Deantre Prince,CB,Jacksonville Jaguars,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/djjpc9oeqbpjf9bdd2tk,JAX,deantre-prince-JAX,deantre-prince
Nehemiah Pritchett,CB,Seattle Seahawks,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/vhrxczmdisskazahqmpd,SEA,nehemiah-pritchett-SEA,nehemiah-pritchett
Ennis Rakestraw Jr.,CB,Detroit Lions,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/ujqq4wa1h5vxlshc80zl,DET,ennis-rakestraw-jr-DET,ennis-rakestraw-jr
Jalen Ramsey,CB,Miami Dolphins,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/qqpx4sxtl2oj8e8jaig7,MIA,jalen-ramsey-MIA,jalen-ramsey
D.J. Reed,CB,New York Jets,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/rdl6g2afnvt4zbaqprs9,NYJ,d-j-reed-NYJ,d-j-reed
Decamerion Richardson,CB,Las Vegas Raiders,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/bgrvszvoje3ts86vrgil,LV,decamerion-richardson-LV,decamerion-richardson
Eli Ricks,CB,Philadelphia Eagles,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/bazjehllwcyevnucj17s,PHI,eli-ricks-PHI,eli-ricks
Robert Rochell,CB,Green Bay Packers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/oqn1nnmeqppzkymivtfe,GB,robert-rochell-GB,robert-rochell
D'Angelo Ross,CB,Houston Texans,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/mnmdjulszlkle9jmfmqb,HOU,d-angelo-ross-HOU,d-angelo-ross
Asante Samuel Jr.,CB,Los Angeles Chargers,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/hrnnoumk2vtrx9yhqs6n,LAC,asante-samuel-jr-LAC,asante-samuel-jr
Kevon Seymour,CB,Washington Commanders,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/krkiyzpkfb69x6dtt2bv,WAS,kevon-seymour-WAS,kevon-seymour
Duke Shelley,CB,New York Giants,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/jmidsg7krhjba8rbvoha,NYG,duke-shelley-NYG,duke-shelley
Cam Smith,CB,Miami Dolphins,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/tg393eoyith3ipd5dea3,MIA,cam-smith-MIA,cam-smith
Terell Smith,CB,Chicago Bears,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/em7vobbz7769pgrkgsam,CHI,terell-smith-CHI,terell-smith
L'Jarius Sneed,CB,Tennessee Titans,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/uq5qstdlfazpw0dmu6ee,TEN,l-jarius-sneed-TEN,l-jarius-sneed
Brandon Stephens,CB,Baltimore Ravens,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/eqf4dolbtr4q6janbxjf,BAL,brandon-stephens-3-BAL,brandon-stephens-3
Tarheeb Still,CB,Los Angeles Chargers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/q1sbiyr6dvepntfifybw,LAC,tarheeb-still-LAC,tarheeb-still
Derek Stingley Jr.,CB,Houston Texans,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/l06vle5t1v3lpnfni8z9,HOU,derek-stingley-jr-HOU,derek-stingley-jr
Eric Stokes,CB,Green Bay Packers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/vdw6tmpv3eleigwreo3g,GB,eric-stokes-3-GB,eric-stokes-3
Greg Stroman,CB,New York Giants,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/h9lcuxan1kd6uqsyuulq,NYG,greg-stroman-NYG,greg-stroman
Cameron Sutton,CB,Pittsburgh Steelers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/rykly25j9mir0ygcnrs6,PIT,cameron-sutton-PIT,cameron-sutton
T.J. Tampa,CB,Baltimore Ravens,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/poanrufasprugy1q1ulq,BAL,t-j-tampa-BAL,t-j-tampa
Ja'Sir Taylor,CB,Los Angeles Chargers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/qvvfjjcxkscn40ghjmfc,LAC,ja-sir-taylor-LAC,ja-sir-taylor
Keith Taylor,CB,Kansas City Chiefs,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/rz4iqts9nnuktkhczpah,KC,keith-taylor-2-KC,keith-taylor-2
Cam Taylor-Britt,CB,Cincinnati Bengals,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/ysaiijfhzalqruk36u9r,CIN,cam-taylor-britt-CIN,cam-taylor-britt
A.J. Terrell,CB,Atlanta Falcons,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/mijlbfupcqxu8g7mmm4i,ATL,a-j-terrell-ATL,a-j-terrell
Cory Trice Jr.,CB,Pittsburgh Steelers,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/vvjlmzjui9ci1xdjm5je,PIT,cory-trice-jr-PIT,cory-trice-jr
DJ Turner II,CB,Cincinnati Bengals,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/hslzr07pijr34cxinomu,CIN,dj-turner-2-CIN,dj-turner-2
Kindle Vildor,CB,Detroit Lions,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/dpohdktdlsl1ywzmdzxq,DET,kindle-vildor-DET,kindle-vildor
Josh Wallace,CB,Los Angeles Rams,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/lwtavpkfwluzdouyhhwx,LAR,josh-wallace-LAR,josh-wallace
Charvarius Ward,CB,San Francisco 49ers,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/jlccuozxaeffcupnvd7q,SF,charvarius-ward-SF,charvarius-ward
Jaylen Watson,CB,Kansas City Chiefs,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/abj96tqo9vzowgkdeagc,KC,jaylen-watson-KC,jaylen-watson
Sam Webb,CB,Las Vegas Raiders,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/iejko9losmuipy3mmxht,LV,sam-webb-LV,sam-webb
Tre'Davious White,CB,Baltimore Ravens,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/xlgqko9tehzohbgnou0v,BAL,tre-davious-white-BAL,tre-davious-white
Tre'Davious White,CB,Los Angeles Rams,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/xlgqko9tehzohbgnou0v,LAR,tre-davious-white-LAR,tre-davious-white
Dee Williams,CB,Seattle Seahawks,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/u1dauib48rl6ea138jrk,SEA,dee-williams-SEA,dee-williams
Dee Williams,CB,New York Giants,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/u1dauib48rl6ea138jrk,NYG,dee-williams-NYG,dee-williams
Joshua Williams,CB,Kansas City Chiefs,https://static.www.nfl.com/image/private/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/wk6opycjhvjymx2iijgg,KC,joshua-williams-KC,joshua-williams
Divaad Wilson,CB,Arizona Cardinals,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/p98t3eilvrv5mgvlagcq,ARI,divaad-wilson-ARI,divaad-wilson
Divaad Wilson,CB,New York Giants,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/p98t3eilvrv5mgvlagcq,NYG,divaad-wilson-NYG,divaad-wilson
Marco Wilson,CB,New England Patriots,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/wu3tnzlteklzvreqel4m,NE,marco-wilson-NE,marco-wilson
Marco Wilson,CB,Cincinnati Bengals,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/wu3tnzlteklzvreqel4m,CIN,marco-wilson-CIN,marco-wilson
Ahkello Witherspoon,CB,Los Angeles Rams,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/s0ugeantfk8glnsstdwe,LAR,ahkello-witherspoon-LAR,ahkello-witherspoon
Samuel Womack,CB,Indianapolis Colts,https://static.www.nfl.com/image/upload/t_player_profile_landscape/t_player_profile_landscape/f_auto/league/mhorsiwogbumpbvoi41x,IND,samuel-womack-IND,samuel-womack
